22
(1, 0, 221)
(2, 0, 180)
(2, 1, 142)
(3, 0, 71)
(4, 1, 90)
(4, 2, 123)
(4, 3, 94)
(4, 0, 222)
(5, 3, 198)
(6, 0, 145)
(7, 0, 98)
(7, 3, 41)
(7, 1, 156)
(7, 2, 17)
(7, 6, 138)
(7, 4, 27)
(8, 6, 190)
(8, 2, 154)
(8, 7, 8)
(9, 3, 75)
(9, 2, 163)
(9, 0, 200)
(9, 5, 135)
(9, 4, 164)
(9, 1, 69)
(10, 8, 84)
(10, 5, 232)
(10, 0, 129)
(11, 8, 74)
(11, 1, 79)
(11, 4, 91)
(11, 5, 150)
(11, 6, 161)
(11, 0, 65)
(11, 2, 181)
(12, 2, 48)
(12, 4, 208)
(12, 11, 239)
(12, 10, 81)
(12, 0, 24)
(12, 8, 56)
(12, 1, 159)
(12, 9, 152)
(12, 5, 189)
(13, 10, 97)
(13, 1, 143)
(13, 4, 235)
(13, 5, 237)
(13, 6, 67)
(13, 11, 13)
(13, 7, 188)
(13, 8, 89)
(13, 0, 86)
(13, 12, 206)
(14, 1, 107)
(14, 10, 224)
(14, 0, 132)
(14, 9, 32)
(14, 11, 146)
(14, 6, 211)
(14, 12, 33)
(14, 3, 80)
(14, 5, 78)
(14, 2, 52)
(14, 7, 165)
(14, 4, 9)
(15, 1, 26)
(15, 6, 194)
(15, 13, 187)
(15, 8, 47)
(15, 14, 116)
(15, 2, 147)
(15, 5, 212)
(15, 7, 192)
(16, 3, 22)
(16, 5, 82)
(16, 2, 137)
(16, 13, 122)
(16, 11, 19)
(16, 0, 141)
(16, 9, 30)
(16, 4, 96)
(16, 14, 140)
(16, 6, 121)
(16, 7, 173)
(16, 12, 11)
(16, 10, 133)
(16, 15, 58)
(16, 1, 70)
(17, 5, 158)
(17, 8, 230)
(17, 14, 101)
(17, 0, 131)
(17, 12, 53)
(18, 16, 20)
(18, 1, 7)
(19, 15, 128)
(19, 3, 95)
(19, 10, 62)
(19, 11, 111)
(19, 9, 6)
(19, 2, 174)
(19, 16, 44)
(19, 8, 184)
(19, 5, 114)
(19, 4, 196)
(19, 0, 77)
(19, 13, 172)
(19, 14, 186)
(19, 6, 28)
(19, 7, 169)
(19, 18, 225)
(19, 1, 83)
(20, 1, 202)
(20, 4, 117)
(21, 0, 233)
(21, 15, 130)
(21, 9, 120)
(21, 5, 171)
(21, 2, 49)
(21, 13, 64)
(21, 18, 59)
(21, 4, 16)
(21, 20, 88)
(21, 10, 31)
(21, 16, 126)
(21, 3, 100)
(21, 14, 36)
(21, 19, 104)
(21, 17, 214)
(21, 6, 160)
(21, 8, 197)
(21, 11, 46)
(21, 12, 51)
